test_number,time,frozen_counter
1,29/04/2021 20:55:54,46
2,29/04/2021 20:58:14,66
3,29/04/2021 21:00:35,39
4,29/04/2021 21:02:56,45
5,29/04/2021 21:05:17,67
6,29/04/2021 21:07:05,0
7,29/04/2021 21:10:20,79
8,29/04/2021 21:12:41,58
9,29/04/2021 21:15:04,64
10,29/04/2021 21:17:25,46
11,29/04/2021 21:19:46,38
12,29/04/2021 21:22:08,49
13,29/04/2021 21:24:29,48
14,29/04/2021 21:26:51,34
15,29/04/2021 21:29:14,61
16,29/04/2021 21:31:36,51
17,29/04/2021 21:33:59,39
18,29/04/2021 21:36:22,32
19,29/04/2021 21:38:44,83
20,29/04/2021 21:41:07,38
21,29/04/2021 21:43:30,70
22,29/04/2021 21:45:53,61
23,29/04/2021 21:48:16,42
24,29/04/2021 21:50:39,42
25,29/04/2021 21:53:02,55
26,29/04/2021 21:55:25,26
27,29/04/2021 21:57:47,51
28,29/04/2021 22:00:09,53
29,29/04/2021 22:02:32,61
30,29/04/2021 22:04:54,53
31,29/04/2021 22:07:15,47
32,29/04/2021 22:09:38,62
33,29/04/2021 22:12:01,48
34,29/04/2021 22:14:23,60
35,29/04/2021 22:16:46,25
36,29/04/2021 22:19:09,41
37,29/04/2021 22:21:31,39
38,29/04/2021 22:23:54,36
39,29/04/2021 22:26:17,78
40,29/04/2021 22:28:41,59
41,29/04/2021 22:31:03,132
42,29/04/2021 22:33:26,78
43,29/04/2021 22:35:49,41
44,29/04/2021 22:38:12,22
45,29/04/2021 22:40:34,42
46,29/04/2021 22:42:57,39
47,29/04/2021 22:45:21,58
48,29/04/2021 22:47:45,32
49,29/04/2021 22:50:09,45
50,29/04/2021 22:52:33,41
51,29/04/2021 22:54:56,52
52,29/04/2021 22:57:20,29
53,29/04/2021 22:59:45,43
54,29/04/2021 23:02:06,34
55,29/04/2021 23:04:27,47
56,30/04/2021 11:54:16,3
57,30/04/2021 11:55:16,1
58,30/04/2021 11:56:48,4
59,30/04/2021 11:57:40,9
60,30/04/2021 11:58:32,5
61,30/04/2021 11:59:24,8
62,30/04/2021 12:00:16,3
63,30/04/2021 12:01:09,8
64,30/04/2021 12:02:00,16
65,30/04/2021 12:02:52,13
66,30/04/2021 12:03:43,4
67,30/04/2021 12:04:35,8
68,30/04/2021 12:05:26,2
69,30/04/2021 12:06:18,9
70,30/04/2021 12:07:09,6
71,30/04/2021 12:08:01,7
72,30/04/2021 12:08:53,3
73,30/04/2021 12:09:46,18
74,30/04/2021 12:10:37,7
75,30/04/2021 12:11:29,10
76,30/04/2021 12:12:21,5
77,30/04/2021 12:13:15,16
78,30/04/2021 12:14:07,6
79,30/04/2021 12:14:58,6
80,30/04/2021 12:15:51,5
81,30/04/2021 12:16:43,8
82,30/04/2021 12:17:34,10
83,30/04/2021 12:18:26,7
84,30/04/2021 12:19:18,7
85,30/04/2021 12:20:09,13
86,30/04/2021 12:21:01,5
87,30/04/2021 12:21:53,8
88,30/04/2021 12:22:45,2
89,30/04/2021 12:23:36,9
90,30/04/2021 12:24:28,7
91,30/04/2021 12:25:20,6
92,30/04/2021 12:26:12,9
93,30/04/2021 12:27:03,2
94,30/04/2021 12:27:55,12
95,30/04/2021 12:28:47,0
96,30/04/2021 12:29:38,11
97,30/04/2021 12:30:30,7
98,30/04/2021 12:31:22,5
99,30/04/2021 12:32:13,5
100,30/04/2021 12:33:05,9
101,30/04/2021 12:33:55,14
102,30/04/2021 12:34:46,0
103,30/04/2021 12:35:37,10
104,30/04/2021 12:36:30,9
105,30/04/2021 12:37:22,6
106,30/04/2021 12:38:13,8
107,30/04/2021 12:39:04,14
108,30/04/2021 12:39:55,3
109,30/04/2021 12:40:46,3
110,30/04/2021 12:41:37,5
111,30/04/2021 12:42:27,21
112,30/04/2021 12:43:18,21
113,30/04/2021 12:44:09,11
